,daily_return
0,
1,0.03415199343141406
2,0.0073173269350561565
3,0.028390302856798444
4,0.07944654502802195
5,0.07840307243104516
6,-0.0782141491809546
7,0.047152947996006445
8,0.005850879036589651
9,-0.011013416790886965
10,-0.02229588976978547
11,0.022259629183487784
12,0.00698599786790699
13,-0.006420156263490129
14,0.0019527147458928695
15,0.040347695069333556
16,0.0025999535583989264
17,-0.021436153886081333
18,-0.033246136550627914
19,-0.05015376961115048
20,0.058321634409634227
21,0.03927076429743148
22,-0.020738065332563282
23,-0.005499084104886864
24,0.002635313662643579
25,0.013130261429258105
26,-0.016168216179625494
27,-0.05255104830568991
28,0.008498752215484018
29,0.005494938915587166
30,-0.024383699128955993
31,0.0024240207253696244
32,-0.013493728248842096
33,-0.00772183323444775
34,-0.08549851380603068
35,-0.021917387186187853
36,0.06178809314926603
37,-0.08059088333748998
38,-0.009850152431332582
39,0.06355291291751475
40,-0.04452763743232491
41,-0.04842373713092618
42,-0.04862218183112754
43,-0.03779928897736162
44,-0.05844972237400059
45,0.1964121085077153
46,-0.008195046455057975
47,0.04721129560609172
48,-0.00839050217557713
49,0.02048350564733359
50,-0.043873771013758334
51,0.03683074177984813
52,-0.06932079135849123
53,0.0026180752694069387
54,0.02310382976105818
55,-0.01170153262010265
56,-0.04816049732187688
57,0.016056602414174836
58,-0.03385435778177015
59,-0.011992765078630674
60,0.03980110579983265
61,0.050832254817026135
62,-0.009252455711748597
63,0.044276521032064586
64,0.0008248423909813507
65,-0.029857471674981872
66,0.01912159656921597
67,-0.009915133639592177
68,0.03686738976312931
69,0.08595690551627477
70,-0.03947164782029822
71,0.009040868707601346
72,0.0012587856015018328
73,-0.03399662523732405
74,0.006101038749803722
75,0.034951814662427694
76,-0.0328307165995908
77,0.013491950617233739
78,0.012064693581602004
79,-0.04532649880703643
80,-0.014672029349255045
81,-0.025057637964147172
82,0.047917285733244164
83,-0.03459063196731782
84,-0.01649882964713323
85,-0.003948891390943787
86,-0.011029338520784915
87,0.013307437957385426
88,-0.0644437101662928
89,-0.018822278764288325
90,-0.044248212926854213
91,-0.030853229848072816
92,0.03157303383981902
93,-0.021890957639485453
94,0.0018029193983186698
95,-0.024936358119111213
96,0.04138715510388136
97,-0.0100549168674543
98,0.0440021989804078
99,-0.0028856935442168608
100,0.023880008571508515
101,0.018929741105574882
102,-0.008924475074415739
103,-0.0021111710292588404
104,-0.03010102350053967
105,-0.05334473909669335
106,0.045754416082577576
107,0.010149431956828714
108,-0.0025448713746097917
109,-0.007968981170302758
110,0.0189384502913843
111,-0.00037694301217883197
112,0.012789171171239788
113,-0.029675107282609026
114,0.009193155866741742
115,0.019392564622878083
116,0.010882293607423321
117,-0.0039787272440097166
118,0.004638958818893091
119,0.052684715964052664
120,0.035411303807118655
121,-0.011694289843458106
122,0.025079220248551914
123,-0.011557615977613622
124,-0.0015570796512542895
125,-0.0026188454684518137
126,0.0014456595595533361
127,-0.028457809146336777
128,-0.02263560491364547
129,0.012657989351583465
130,0.006341837079579804
131,0.043762842630010734
132,-0.025025570765932037
133,-0.022676240229138833
134,-0.004254842933820169
135,-0.009806340489125542
136,0.0031045296497360653
137,0.022097783950157934
138,-0.00788799693059239
139,-0.009201984562423937
140,-0.009056471666775034
141,0.022133094168770073
142,-0.019524901790774263
143,0.00341194061837502
144,0.04694116670377313
145,0.014542019600093825
146,0.03269786132709718
147,9.864771781908921e-05
148,0.001662570366637528
149,0.005218621028866277
150,-0.021731566252135792
151,0.020969867961160293
152,-0.00528191476080031
153,-0.0030563570472872392
154,0.020386528392057013
155,-0.007033599293656989
156,-0.04322545664028932
157,-0.029817627478727737
158,0.034970133381400315
159,-0.022525754729717518
160,0.010082170486994446
161,0.03827944852485965
162,0.003100668949817642
163,0.003825067410987426
164,-0.014117040059298147
165,0.01534601257594459
166,0.026674332355089314
167,0.0065808344875910585
168,-0.00221544053792444
169,-0.002315808885612225
170,0.0016111534185070386
171,0.026377817239991552
172,0.0012617704783970396
173,0.0013132108198856685
174,-0.024627038366134335
175,0.009140641734991073
176,0.0020053704365747826
177,0.0152319399914278
178,0.001534701081332468
179,0.0033025535769977132
180,-0.0386048633967786
181,0.012613531353273144
182,0.016987202082350716
183,0.002260834909050713
184,0.027533039112419777
185,0.021913984403361786
186,-0.017438318904686723
187,0.004822778964677088
188,-0.0074618488283282325
189,-0.00033528881747257877
190,0.008139700771674807
191,-0.0012027720064089475
192,0.0027671031786462574
193,0.013874142895640373
194,-0.010231719946908746
195,0.008211450543254672
196,0.01740026797388383
197,0.00665249290276515
198,0.008926357550210762
199,0.030196037920976915
200,0.03212217253669292
201,-0.00671175589135764
202,0.0017702433581445742
203,0.032571047129391406
204,0.017539141695504856
205,0.12661594583056024
206,-0.006274020615192222
207,0.019078378303384103
208,0.03775080864849589
209,0.03431623672010509
210,0.08491020271123206
211,-0.03027492106926244
212,0.03571671105082119
213,0.013222323020621207
214,-0.006358244214659803
215,-0.04840071195115225
216,-0.11990296011128176
217,0.04342936118404972
218,-0.00415744333466006
219,-0.028293072508968398
220,-0.019382272885288487
221,0.040793737083203885
222,0.03250123721868614
223,0.006767610078050268
224,0.03710397264613152
225,0.017422066999642327
226,-0.04135293163642506
227,0.006284744794100794
228,-0.030537595031082
229,0.05090019969335757
230,0.006833850427872656
231,-0.04346763456194869
232,-0.00949773919092467
233,-0.06419878890850617
234,-0.0058720564248528895
235,0.04235834116680648
236,0.01636316704302354
237,-0.06095642075067487
238,0.013179957825059097
239,-0.04977243020772948
240,-0.00817454661938255
