,daily_return
0,
1,0.004480739233051256
2,0.022209991729857492
3,-0.05895291299059058
4,0.05783026832925309
5,-0.005039832857219428
6,0.0259665926367032
7,-0.010039273680802707
8,0.0034855547311725132
9,-0.024498017309331432
10,-0.025813898456299222
11,0.01288922643973378
12,0.026141489137391893
13,0.03754010031492849
14,-0.011177336737040688
15,-0.004320809976148587
16,-0.015966839041566816
17,-0.03851817424427084
18,0.01031506874584065
19,-0.00469290097050834
20,0.019034264121301714
21,0.0241557940418331
22,-0.0019363880852528714
23,0.009885075819298095
24,-0.005360697651957458
25,0.06237583180119732
26,-0.012154819924146576
27,0.03512524075493029
28,0.032951306295345484
29,-0.018982785889338993
30,0.024663854079811198
31,-0.027674088085356874
32,-0.005165797707439634
33,0.006574958607148407
34,-0.03823740187426783
35,-0.014889387225787587
36,0.025244004494927585
37,-0.082178169006072
38,0.030584216816412324
39,0.009278658350708957
40,-0.031462821691328635
41,-0.04486725052690299
42,-0.033932667531038296
43,0.007376539827530282
44,-0.06967448846116109
45,0.08033302987899771
46,-0.004153158038615046
47,0.042126868205512924
48,-0.01058208519537518
49,0.02607718719133878
50,0.007580869183328565
51,0.003761858556875497
52,-0.046378773383155436
53,0.00968765293076479
54,0.026506781698892645
55,-0.008759095518387716
56,-0.032725791430628925
57,-0.008522472343677201
58,0.024251502932473246
59,0.00848954808236524
60,-0.0059081296453553644
61,0.037019168204574626
62,0.03472361479662722
63,0.012724659631744517
64,-0.009007964565929005
65,0.02034395058257754
66,0.012267164783846596
67,0.005797420479576099
68,0.05618043057083244
69,0.03093566812296511
70,-0.02567043584757489
71,0.0563101490003044
72,-0.013927371279046419
73,-0.03461119453664219
74,-0.012400937572468185
75,0.012474322367143076
76,-0.03321831586069113
77,0.02794559891057169
78,0.01393683123490641
79,-0.006218467548377515
80,-0.006826294650732256
81,0.0031420974489999587
82,-0.020571394523315467
83,-0.01150943782039826
84,-0.03272268228141795
85,0.007473291433788054
86,0.004460915190968695
87,0.01991673140647876
88,-0.03689511348805952
89,0.002839015288553348
90,-0.03828747385048881
91,-0.006777665599723481
92,0.0422786671787303
93,-0.0054411683985550185
94,-0.010571495895989047
95,0.0035675104450945128
96,0.03887101788856251
97,0.025953618082953822
98,0.041372932982988386
99,0.0022898301787528386
100,0.003339269269911016
101,-0.01350324757772614
102,0.04884428683805808
103,0.0012310870874032709
104,0.03158727717796528
105,0.0114135094459753
106,0.0358580872399521
107,0.0023180943919418606
108,-0.009194514334682324
109,-0.00542893217530338
110,0.0038453663880291256
111,0.022969974835057583
112,0.010855242479795635
113,-0.012778282959688414
114,0.0012225803362122534
115,0.04755692508132148
116,-0.0009914511172133267
117,-0.011347356942372877
118,0.024935839067754983
119,0.009027454742897456
120,0.007779227958567114
121,-0.009085964253093493
122,0.050128883407803526
123,0.002088956055154245
124,-0.0012108784681267304
125,0.010473650830478576
126,0.013605819308767808
127,0.01032364751193815
128,-0.015786282469873347
129,-0.023021953428687514
130,0.00741101584378856
131,0.02305456941462225
132,-0.012797125975318013
133,-0.020172765319380725
134,-0.044112101758321254
135,-0.042456985298970684
136,0.03407019142159751
137,-0.008932406547244809
138,0.042875644693499915
139,0.009479516142618438
140,-0.0018373053706396414
141,-0.013498243260615661
142,-0.004457381545688532
143,0.015358142195700974
144,0.008152563373102328
145,-0.008289980685801446
146,0.01287235948187715
147,0.0032911841112923668
148,0.02316425714036563
149,0.017904697679017145
150,-0.013131734332984535
151,-0.0034862221926384995
152,-0.017689094109780812
153,-0.011888082275624878
154,0.010457396499549132
155,0.014217618738870508
156,-0.011789292708225929
157,-0.024661587556268794
158,-0.02148224535137011
159,0.03981101651584962
160,0.051419367753146705
161,0.05486156213716242
162,-0.007514367881020334
163,0.019272377456829748
164,-0.006527871368255167
165,0.025738774324314928
166,0.0022972433080303833
167,-0.013181144858626093
168,0.002501646843069416
169,-0.0020052197471093214
170,0.0199588418189256
171,-0.007923624240403604
172,-0.014252913974279635
173,-0.007251875042575406
174,0.013572578140829794
175,-0.014503014863512353
176,0.004062760429496048
177,0.004451063113181775
178,-0.004431338943866714
179,-0.015376281313886575
180,-0.035936050992383395
181,0.006299410123863369
182,0.03271212271642043
183,0.024656966291235927
184,-0.01783653066059976
185,-0.01906611200691921
186,-0.0443675268350755
187,-0.008792651160561382
188,0.009699313759732986
189,0.0012550410890754815
190,-0.04869348374752347
191,0.03643820306939083
192,0.012175454253773754
193,0.01811593882309226
194,-0.01157762483860414
195,-0.006528740732577587
196,-0.0011596977734968927
197,0.012965018558321884
198,0.038540544252219755
199,0.005334278729697717
200,0.01646689174537208
201,0.003060069594741144
202,-0.008389381922304873
203,0.02664789379761956
204,0.001498344496143389
205,0.019361085651080412
206,0.066951581686858
207,-0.010761840757361862
208,0.020040118565380016
209,0.025099217902654125
210,0.01016937576996857
211,0.022224772632017498
212,0.007461831449837808
213,0.1204226151461234
214,-0.00164438152232671
215,0.0353591318944253
216,-0.004772121416325548
217,-0.03907756295713971
218,0.03160326949455139
219,0.0
220,-0.01201061145442417
221,0.005928397042165967
222,-0.03118893723795413
223,0.08249889911122477
224,0.04135762283489419
225,-0.031196088682275414
226,-0.006571569186750503
227,0.02923203009226527
228,-0.035838807954159946
229,0.059454658440344366
230,-0.02097316802040272
231,-0.03786115592504091
232,0.021981934710093354
233,-0.04460566513590403
234,-0.021373004889034375
235,0.07956855746258418
236,-0.018533925823068786
237,-0.04197826654673409
238,-0.009576884616389503
239,-0.06745485336725432
240,0.006249794065264158
241,0.07488448264013603
242,-0.06802594020205222
